advertisement,city,community,distance,houseInfo,link,position,price,time,title,url
0,闲林,余杭闲林东海闲湖城印象加州,5.014,--88.60㎡南2室2厅1卫,/zufang/HZ2733954314199908352.html,"(30.236791959722076, 120.00060263080339)",3100,2天前维护,整租·东海闲湖城印象加州 2室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
1,闲林,柚米国际社区,1137.634,23.00㎡1间在租1室1厅1卫,/apartment/17959.html,"(40.134496460827265, 116.61036592596209)",,7天前维护,独栋·柚米国际社区 杭州西溪湿地店 舒适特惠一居 1室1厅,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林融创金成西溪海,,--89.00㎡南3室2厅1卫,/zufang/HZ2733293758127800320.html,,,,整租·融创金成西溪海 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
1,闲林,柚米国际社区,1137.634,20.00㎡1间在租1室1厅1卫,/apartment/17959.html,"(40.134496460827265, 116.61036592596209)",,3天前维护,独栋·柚米国际社区 杭州西溪湿地店 特价小户型 1室1厅,https://hz.lianjia.com/zufang/xianlin1/pg1/
1,未来科技城,,,未来科技城区域优质商家，租房更省心,/zufang/weilaikejicheng/ab200306003080,,,,,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林东海闲湖城印象加州,,--89.00㎡南3室2厅1卫,/zufang/HZ2755754671309062144.html,,,,整租·东海闲湖城印象加州 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林闲林山水海棠苑,5.425,精选--15.00㎡南6室1厅4卫,/zufang/HZ2739862061294567424.html,"(30.242084075999973, 120.02588804446768)",1690,7天前维护,合租·闲林山水海棠苑 6居室 跃层 南卧,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城湖山帝景湾南苑,,--89.00㎡南3室2厅1卫,/zufang/HZ2357148446206459904.html,,,,整租·湖山帝景湾南苑 3室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,,,28.00㎡4间在租1室1厅1卫,/apartment/1581.html,2,,13天前维护,独栋· 海港城社区店 丨咫尺阿里丨朝南跃层 1室1厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林岸上蓝山,,--115.00㎡东南南西南3室1厅1卫,/zufang/HZ2373742878464671744.html,,,,整租·岸上蓝山 3室1厅 东南/南/西南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林绿城桃源小镇品霞苑,,--89.00㎡南北3室2厅1卫,/zufang/HZ2473007424840138752.html,,,,整租·绿城桃源小镇品霞苑 3室2厅 南/北,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林绿城桃源小镇品霞苑,,--124.00㎡南4室1厅2卫,/zufang/HZ2480161092211580928.html,,,,整租·绿城桃源小镇品霞苑 4室1厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林雅居乐国际花园,,--101.00㎡南3室1厅2卫,/zufang/HZ2489146635016208384.html,,,,整租·雅居乐国际花园 3室1厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林绿城桃源小镇,,--83.29㎡南3室2厅1卫,/zufang/HZ2483305699250282496.html,,,,整租·绿城桃源小镇 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林竹海水韵,4.235,精选--15.00㎡南5室1厅2卫,/zufang/HZ2738481847138000896.html,"(30.24352799701941, 119.98671186321094)",1230,7天前维护,合租·竹海水韵 5居室 南卧,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城庭院深深,,--160.92㎡南西南3室2厅2卫,/zufang/HZ2608646094141259776.html,,,,整租·庭院深深 3室2厅 南/西南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,方隅公寓,173.751,63.00㎡1间在租1室1厅1卫,/apartment/26260.html,"(31.26116388182826, 121.40897696867404)",,2天前维护,独栋·方隅公寓 杭州方隅公寓 杭师大旁网红公寓一居 1室1厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林绿城桃源小镇,,--83.48㎡南2室1厅1卫,/zufang/HZ2510225281415905280.html,,,,整租·绿城桃源小镇 2室1厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林岸上蓝山,5.208,精选--20.00㎡南4室1厅2卫,/zufang/HZ2739885813470076928.html,"(30.239150070431783, 120.01593203467006)",1360,7天前维护,合租·岸上蓝山 4居室 南卧,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城东原印未来,,--123.00㎡南4室2厅2卫,/zufang/HZ2617227560450260992.html,,,,整租·东原印未来 4室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,优家社区,183.539,31.00㎡1间在租1室0厅1卫,/apartment/23519.html,"(31.26881085643081, 121.53175601831957)",,1个月前维护,独栋·优家社区 杭州余杭区文一西路1500号科创中心7号楼 拎包入住 高颜值邻居 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林新明半岛,,--161.06㎡南北4室2厅3卫,/zufang/HZ2514238649516957696.html,,,,整租·新明半岛 4室2厅 南/北,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林润和西溪郡,,--89.00㎡南3室2厅1卫,/zufang/HZ2510859957264990208.html,,,,整租·润和西溪郡 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林竹海水韵,,--234.08㎡南北4室1厅3卫,/zufang/HZ2496334112454361088.html,,,,整租·竹海水韵 4室1厅 跃层 南/北,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林绿城桃源小镇品霞苑,,--89.00㎡南3室1厅1卫,/zufang/HZ2495552001409564672.html,,,,整租·绿城桃源小镇品霞苑 3室1厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林怡景花城鸣翠苑,,--151.00㎡南4室2厅2卫,/zufang/HZ2508762146180448256.html,,,,整租·怡景花城鸣翠苑 4室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林绿城桃源小镇,,--89.00㎡东东南3室2厅1卫,/zufang/HZ2531167296190693376.html,,,,整租·绿城桃源小镇 3室2厅 东/东南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林雅居乐国际花园,,--89.00㎡南3室3厅1卫,/zufang/HZ2523668370180808704.html,,,,整租·雅居乐国际花园 3室3厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林闲林山水紫薇苑,5.25,精选--16.00㎡南4室1厅2卫,/zufang/HZ2739855348939890688.html,"(30.239879699541646, 120.01852930539104)",1190,7天前维护,合租·闲林山水紫薇苑 4居室 南卧,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城瑞城温莎郡,,--86.90㎡南2室2厅1卫,/zufang/HZ2633290283365965824.html,,,,整租·瑞城温莎郡 2室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城华夏之心,,--99.17㎡南西北3室2厅2卫,/zufang/HZ2636775458645491712.html,,,,整租·华夏之心 3室2厅 南/西/北,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城中南樾府,,--110.00㎡南4室2厅2卫,/zufang/HZ2636316219183210496.html,,,,整租·中南樾府 4室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城华夏四季,,--139.43㎡南4室2厅2卫,/zufang/HZ2636317515105705984.html,,,,整租·华夏四季 4室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城中南樾府,,--89.00㎡南3室2厅2卫,/zufang/HZ2643469744854286336.html,,,,整租·中南樾府 3室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,途步酒店式公寓,168.367,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,"(31.327793803870186, 121.26641875881816)",,19天前维护,独栋·途步酒店式公寓 余勋工业园店 科技城精品公寓 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林融创金成西溪海,,--304.76㎡南5室2厅3卫,/zufang/HZ2530875871922241536.html,,,,整租·融创金成西溪海 5室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,闲林,余杭闲林爵士风情花园,4.459,精选--10.00㎡北4室1厅2卫,/zufang/HZ2826087002728824832.html,"(30.241357115431928, 119.99631501860425)",990,1天前维护,合租·爵士风情花园 4居室 北卧,https://hz.lianjia.com/zufang/xianlin1/pg1/
1,未来科技城,途步酒店式公寓,168.367,18.00㎡1间在租1室0厅1卫,/apartment/36871.html,"(31.327793803870186, 121.26641875881816)",,19天前维护,独栋·途步酒店式公寓 余勋工业园店 精装地铁公寓房 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林白云深处,,--223.00㎡东南南5室3厅4卫,/zufang/HZ2532557536058949632.html,,,,整租·白云深处 5室3厅 跃层 东南/南,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城东原印未来,,--123.59㎡南北4室4厅2卫,/zufang/HZ2647751825629396992.html,,,,整租·东原印未来 4室4厅 南/北,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城阳光城未来悦MAX,,--140.86㎡东南4室2厅2卫,/zufang/HZ2646892861303291904.html,,,,整租·阳光城未来悦MAX 4室2厅 东南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城湖山帝景湾,,--139.00㎡南3室2厅2卫,/zufang/HZ2654311234740436992.html,,,,整租·湖山帝景湾 3室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城湖山帝景湾,,--139.89㎡南北4室1厅2卫,/zufang/HZ2516438063404548096.html,,,,整租·湖山帝景湾 4室1厅 南/北,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城欧美金融城,,--50.00㎡北2室1厅1卫,/zufang/HZ2549970367028936704.html,,,,整租·欧美金融城 2室1厅 北,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城阳光城未来悦MAX,,--140.00㎡南4室2厅2卫,/zufang/HZ2658717601114357760.html,,,,整租·阳光城未来悦MAX 4室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林十里风荷,,--105.00㎡南3室2厅2卫,/zufang/HZ2521736920435277824.html,,,,整租·十里风荷 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
1,闲林,美好生活公寓,7.643,76.00㎡3间在租2室2厅1卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,3天前维护,独栋·美好生活公寓 绿城闲林店 亲昵室友两居室 2室2厅,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城阳光城未来悦MAX,,--84.54㎡南3室1厅1卫,/zufang/HZ2658612778385801216.html,,,,整租·阳光城未来悦MAX 3室1厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城欧美金融城,1.901,--45.00㎡南1室1厅1卫,/zufang/HZ2812364957910843392.html,"(30.287634006890965, 120.01069697964955)",4500,5天前维护,整租·欧美金融城 1室1厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林绿城桃源小镇品霞苑,,--89.00㎡南3室2厅1卫,/zufang/HZ2524675376006316032.html,,,,整租·绿城桃源小镇品霞苑 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg1/
1,闲林,美好生活公寓,7.643,70.00-73.00㎡2间在租2室2厅1卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,1天前维护,独栋·美好生活公寓 绿城闲林店 经典网红两居 2室2厅,https://hz.lianjia.com/zufang/xianlin1/pg1/
1,未来科技城,FUNLIVE方隅,1115.825,65.00㎡4间在租1室1厅1卫,/apartment/27915.html,"(39.909418963003894, 116.52553175021079)",,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里贝达一室一厅整租 1室1厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,闲林,美好生活公寓,7.643,40.00㎡3间在租1室1厅1卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,3天前维护,独栋·美好生活公寓 绿城闲林店 绿野之界（一居室） 1室1厅,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城湖山帝景湾,,--89.00㎡东南南西南3室2厅1卫,/zufang/HZ2562216996318494720.html,,,,整租·湖山帝景湾 3室2厅 东南/南/西南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,FUNLIVE方隅,1115.825,43.00㎡1间在租1室0厅1卫,/apartment/27915.html,"(39.909418963003894, 116.52553175021079)",,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 贝达高档一室整租 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,闲林,美好生活公寓,7.643,70.00㎡2间在租2室2厅1卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,1天前维护,独栋·美好生活公寓 绿城闲林店 米兰风情两居 2室2厅,https://hz.lianjia.com/zufang/xianlin1/pg1/
0,未来科技城,余杭未来科技城宝林西路,,--116.00㎡南3室2厅1卫,/zufang/HZ2560077290268794880.html,,,,整租·宝林西路 3室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,FUNLIVE方隅,1115.825,65.00㎡3间在租1室1厅1卫,/apartment/27915.html,"(39.909418963003894, 116.52553175021079)",,2天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 杭师阿里一室一厅整租 1室1厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,未来科技城,余杭未来科技城新湖菲林山,,--90.00㎡南3室2厅1卫,/zufang/HZ2555855765563260928.html,,,,整租·新湖菲林山 3室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,未来科技城,FUNLIVE方隅,1115.825,40.00-43.00㎡2间在租1室0厅1卫,/apartment/27915.html,"(39.909418963003894, 116.52553175021079)",,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 高档整租一室独卫独厨 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
1,闲林,美好生活公寓,7.643,45.00-48.00㎡3间在租1室1厅1卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,3天前维护,独栋·美好生活公寓 绿城闲林店 店长首推网红一居 1室1厅,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,未来科技城,FUNLIVE方隅,1115.825,60.00-65.00㎡4间在租1室1厅1卫,/apartment/27915.html,"(39.909418963003894, 116.52553175021079)",,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里高档一室一厅 1室1厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林融创金成江南府,,--149.89㎡南4室2厅3卫,/zufang/HZ2815267233104658432.html,,,,整租·融创金成江南府 4室2厅 跃层 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,闲林,美好生活公寓,7.643,91.00-93.00㎡3间在租3室2厅2卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,1天前维护,独栋·美好生活公寓 绿城闲林店 豪华超大三居室 3室2厅,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,未来科技城,FUNLIVE方隅,1115.825,43.00㎡5间在租1室0厅1卫,/apartment/27915.html,"(39.909418963003894, 116.52553175021079)",,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里高档一室独卫独厨 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
