advertisement,area,city,community,direction,distance,houseInfo,lat,layout,link,lng,price,time,title,url
0,,翡翠城,余杭翡翠城翡翠城梧桐郡,,4.277,--139.00㎡南4室2厅2卫,30.253900245429797,,/zufang/HZ2792543542407872512.html,120.02354840776695,6850,1天前维护,整租·翡翠城梧桐郡4室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城翡翠城一期,,5.262,精选--11.30㎡南4室1厅2卫,30.246105505005875,,/zufang/HZ2825369230361231360.html,120.02891632217238,1330,友家3天前维护,合租·翡翠城一期4居室南卧,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城翡翠城二期,,5.527,--85.00㎡南2室2厅1卫,30.244680107694965,,/zufang/HZ2818190565106262016.html,120.03121104359761,4500,2天前维护,整租·翡翠城二期2室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城翡翠城一期,,5.262,精选--16.10㎡南4室1厅2卫,30.246105505005875,,/zufang/HZ2825374604808159232.html,120.02891632217238,1490,友家3天前维护,合租·翡翠城一期4居室南卧,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城华元蒙卡岸,,4.457,--128.00㎡南3室2厅2卫,30.247045280842684,,/zufang/HZ2818165278855405568.html,120.0163920569217,4500,3天前维护,整租·华元蒙卡岸3室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,翡翠城,米果公寓,,1106.461,38.00㎡2间在租1室1厅1卫,39.729892677964735,,/apartment/2273.html,116.17126682657968,,米果公寓4天前维护,独栋·米果公寓五常部落朝南38平整租大平层1室1厅,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城绿城翡翠湾,,5.19,--152.00㎡南3室2厅2卫,30.248029348772224,,/zufang/HZ2825887607790247936.html,120.03019092786047,5200,4天前维护,整租·绿城翡翠湾3室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城溪上玫瑰园,,4.361,--367.50㎡南4室2厅1卫,30.257043827433787,,/zufang/HZ2815942091467923456.html,120.02797489799792,20000,1天前维护,整租·溪上玫瑰园4室2厅跃层南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城翡翠城一期,,5.262,--233.21㎡南6室4厅4卫,30.246105505005875,,/zufang/HZ2146861758629806080.html,120.02891632217238,9000,链家4天前维护,整租·翡翠城一期6室4厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城西溪乐天城,,6.013,--50.00㎡南2室1厅1卫,30.250753754064927,,/zufang/HZ2373803149221183488.html,120.04396832929757,3200,贝壳优选8个月前维护,整租·西溪乐天城2室1厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城西溪乐天城,,6.013,--49.00㎡南2室1厅1卫,30.250753754064927,,/zufang/HZ2373800904378810368.html,120.04396832929757,3200,贝壳优选7个月前维护,整租·西溪乐天城2室1厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,翡翠城,和居公寓,,5.992,58.00㎡1间在租2室1厅1卫,30.250824415532687,,/apartment/2656.html,120.04375480207784,,和居公寓3天前维护,独栋·和居公寓五常店两室一厅特价房2室1厅,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,翡翠城,余杭翡翠城西溪乐天城,,6.013,--48.00㎡南2室2厅1卫,30.250753754064927,,/zufang/HZ2373792394824130560.html,120.04396832929757,3200,贝壳优选7个月前维护,整租·西溪乐天城2室2厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,翡翠城,和居公寓,,5.992,28.00㎡1间在租1室1厅1卫,30.250824415532687,,/apartment/2656.html,120.04375480207784,,和居公寓3天前维护,独栋·和居公寓五常店环保家装清新自然1室1厅,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
0,,西溪,余杭西溪香港兴业耦园,,5.529,--121.97㎡南4室2厅2卫,30.273700900793585,,/zufang/HZ2645494419473833984.html,120.04920805550671,5700,链家今天维护,整租·香港兴业耦园4室2厅南,https://hz.lianjia.com/zufang/xixi/pg1/
0,,翡翠城,余杭翡翠城西溪乐天城,,6.013,--50.00㎡南2室1厅1卫,30.250753754064927,,/zufang/HZ2330880097047027712.html,120.04396832929757,3200,贝壳优选7个月前维护,整租·西溪乐天城2室1厅南,https://hz.lianjia.com/zufang/feicuicheng1/pg1/
1,,西溪,氧气公寓,,1526.421,20.00㎡1间在租1室0厅1卫,30.62618404247885,,/apartment/1838.html,104.05963614582176,,氧气公寓5天前维护,独栋·氧气公寓骆家庄文新地铁站店一室一卫整租单间开间,https://hz.lianjia.com/zufang/xixi/pg1/
